Unit 1,Unit 2,Length of border
29095005801,29095017100,3.089632843
29095006000,29095006100,2.086151513
29095006000,29095017100,2.780721908
29095006100,29095006300,0.987786782
29095006100,29095007700,1.393666812
29095006100,29095016900,0.995777237
29095006100,29095017100,0.31299228
29095006300,29095006500,0.0
29095006300,29095006600,1.001602763
29095006300,29095007400,0.0
29095006300,29095007500,1.341131325
29095006300,29095007600,1.260643458
29095006300,29095007700,0.633141825
29095006300,29095016900,1.994233593
29095006500,29095006600,0.665043542
29095006500,29095006700,1.022697753
29095006500,29095016900,0.991782968
29095006600,29095006700,0.952640078
29095006600,29095006900,1.00263924
29095006600,29095007301,0.476434858
29095006600,29095007400,1.005531075
29095006600,29095007500,0.0
29095006600,29095016801,0.0
29095006600,29095016900,0.0
29095006700,29095006900,0.0
29095006700,29095016700,0.0
29095006700,29095016801,1.002245433
29095006900,29095007100,0.874021857
29095006900,29095007301,0.139903984
29095006900,29095007302,1.083591821
29095006900,29095016801,0.864010821
29095007100,29095007200,0.953545125
29095007100,29095007302,0.499050069
29095007100,29095016801,0.691866119
29095007100,29095016802,0.681283105
29095007200,29095007301,0.162679078
29095007200,29095007302,1.434929544
29095007200,29095007400,1.501253131
29095007200,29095008300,0.0
29095007200,29095008400,1.633031578
29095007301,29095007302,0.67583023
29095007301,29095007400,1.463583233
29095007400,29095007500,2.003884071
29095007400,29095008100,0.0
29095007400,29095008200,0.996907105
29095007400,29095008300,0.998943575
29095007400,29095008400,0.0
29095007500,29095007600,1.959913684
29095007500,29095008000,0.0
29095007500,29095008100,0.999471633
29095007500,29095008200,0.0
29095007600,29095007700,1.417333872
29095007600,29095007900,0.0
29095007600,29095008000,1.096558384
29095007600,29095008100,0.0
29095007700,29095007802,1.48600653
29095007700,29095007900,1.330203887
29095007700,29095008000,0.0
29095007700,29095017100,0.299310629
29095007802,29095007900,2.552174345
29095007802,29095016300,0.0
29095007802,29095017100,1.870471948
29095007802,29095017500,4.190966824
29095007802,29095980101,1.385818249
29095007900,29095008000,1.944962552
29095007900,29095008700,0.0
29095007900,29095008800,1.383694451
29095007900,29095980101,0.521278207
29095008000,29095008100,2.310378317
29095008000,29095008700,1.46535771
29095008000,29095008800,0.0
29095008100,29095008200,1.927109406
29095008100,29095008600,0.0
29095008100,29095008700,0.612376702
29095008200,29095008300,1.914278772
29095008200,29095008600,0.994019036
29095008200,29095008700,0.0
29095008300,29095008400,1.896420681
29095008300,29095008500,0.0
29095008300,29095008600,1.006720959
29095008400,29095008500,1.586387801
29095008400,29095008600,0.0
29095008500,29095008600,2.006949769
29095008500,29095009100,0.0
29095008500,29095009200,1.512838617
29095008600,29095008700,1.998880687
29095008600,29095009000,0.0
29095008600,29095009100,1.990857055
29095008600,29095009200,0.0
29095008700,29095008800,2.073534589
29095008700,29095009000,1.995762523
29095008700,29095009100,0.0
29095008800,29095008900,2.483298625
29095008800,29095009000,0.077861895
29095008800,29095980101,3.022271832
29095008900,29095009000,1.625132191
29095008900,29095009600,1.95217096
29095008900,29095980101,2.002041339
29095009000,29095009100,1.501312925
29095009000,29095009400,0.498799263
29095009000,29095009500,1.484495626
29095009000,29095009600,1.582243737
29095009100,29095009200,1.50856189
29095009100,29095009300,0.0
29095009100,29095009400,1.995698358
29095009200,29095009300,1.572758659
29095009200,29095009400,0.0
29095009300,29095009400,2.00849689
29095009300,29095009800,0.0
29095009300,29095009900,1.418985307
29095009400,29095009500,1.500349636
29095009400,29095009700,0.501397437
