GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
29095013301,4165,690.9938923,617.094172,2409,718,749
29095013307,2659,650.3073707,443.8047178,694,1515,238
29095013309,5040,1150.895736,788.7827714,1611,2683,386
29095013313,5162,1124.504045,901.6583222,2372,1733,775
29095013401,2802,500.0818842,430.2490941,1032,995,610
29095013405,1981,437.2118055,403.8409724,1167,530,117
29095013407,2574,796.1009703,760.2299859,2114,213,89
29095013410,4037,703.7883251,484.7826854,2181,1091,452
29095013416,2344,545.6509709,405.1837945,714,1266,247
29095013417,2918,690.5618955,567.775793,1750,715,263
29095013418,2742,706.8009719,685.8537599,2018,353,149
29095013502,6065,1337.505633,1613.523258,5192,292,283
29095013504,3488,793.5506712,851.8108733,2683,372,192
